   882589.65    -4924872.32     3943729.348    1  GBT XYZ             1  GB
  422333.2      722040.4         306.             QUABBIN             2  QU
  402047.7      743853.85         43.             PRINCETON           5  PR
 -1601192.     -5041981.4       3554871.4      1  VLA XYZ             6  VL
 -4554231.5     2816759.1       -3454036.3     1  PARKES  XYZ (JER)   7  PK
 3822252.643   -153995.683      5086051.443    1  JODRELL BANK MkIA   8  JB
  382546.30     795056.36        893.7            GB 300FT            9  G3
  382615.409    795009.613       880.87           GB 140FT            a  G1
  382545.90     795036.87        835.8            GB 85-3             b  G8
  340443.497   1073703.819      2124.             VLA SITE            c  V2
  443118.48    -113848.48         25.             NORTHERN CROSS      d  BO
 -352219.00    -1492525.00       500.0            MOST                e  MO
 4324165.81     165927.11       4670132.83     1  Nancay              f  NC
 4033949.5      486989.4        4900430.8      1  Effelsberg          g  EF
 3822473.365   -153692.318      5085851.303    1  JODRELL BANK mkii   h  JB
 3822294.825   -153862.275      5085987.071    1  JODRELL BANK 42ft   i  JB
 383395.727    -173759.585      5077751.313    1  mkiii               j  JB
 3817176.557   -162921.170      5089462.046    1  tabley              k  JB
 3828714.504   -169458.987      5080647.749    1  darnhall            l  JB
 3859711.492   -201995.082      5056134.285    1  knockin             m  JB
       0.0           1.0              0.0      1  centre of earth     o  EC
  531412.        21824.           78.             JODRELL BANK MkIA   p  JB
 3822252.643   -153995.683      5086051.443    1  JODRELL BANK mk4    q  JB
 190534.8100   -740323.62           497.0         GMRT                r  GM
  404904.      1212824.         1280.0            ATA                 s  AT
 3826577.462   461022.624       5064892.526    1  LOFAR               t  LF
 4324016.70769 165545.525467    4670271.363    1  FR606               u  FL
 4323420.896    166028.622      4670690.667    1  EMBRACE             v  EE
 3307865.236   2487350.541      4836939.784    1  UTR-2               w  U2
 4034100.228   487013.084       4900229.363    1  DE601               x  DL
 4008462.280   -100376.948      4943716.600    1  UK608               y  UL
 3370272.092    712125.596      5349990.934    1  SE607               z  SL
 4323980.155    165608.408      4670302.803    1  NenuFAR             n  NF
 4323980.155    165608.408      4670302.803    1  FR606LBA            3  FL
 4324017.054    165545.160      4670271.072    1  FR606HBA            4  FH
